name,value
model_type,baseline
gnn_layer,graphconv
pooling_method,target
outpath,results
outname,A3_TestDisease
obs_window_start,1990
obs_window_end,2010
batchsize,250
num_workers,6
max_epochs,100
patience,8
learning_rate,0.001
main_hidden_dim,20
lstm_hidden_dim,20
loss,bce_weighted_single
gamma,1
alpha,1
beta,1
delta,1
dropout_rate,0.5
threshold_opt,precision_recall
ratio,0.5
local_test,True
explainability_mode,False
embeddings_mode,False
explainer_input,
device_specification,na
num_positive_samples,5000
device,cpu
num_batches_train,111
num_samples_train_dataset,27565
num_samples_train_minority_class,3050
num_samples_train_majority_class,24515
num_batches_validate,16
num_samples_valid_dataset,3872
num_samples_valid_minority_class,434
num_samples_valid_majority_class,3438
num_batches_test,32
include_longitudinal,False
num_features_static,10
num_features_longitudinal,0
metric_auc_roc,0.6384450520201894
metric_auc_prc,0.16594635453236584
metric_f1,0.24855491329479767
metric_recall,0.4925544100801833
metric_mcc,0.12293094115819327
metric_ts,0.1419141914191419
metric_bss,-1.407734438006301
true_negatives,4830
false_positives,2157
false_negatives,443
true_positives,430
threshold,0.5010000000000003
training_time,139.87456226348877
